pickup_grid,trips,avg_value,lat,lon,cluster
-262_7361,382,0.03110732984293194,-1.3075,36.8075,2
-245_7354,206,0.030990291262135924,-1.2225,36.7725,4
-261_7379,2462,0.030984463850528027,-1.3025,36.8975,7
-267_7378,213,0.03097183098591549,-1.3325,36.8925,7
-260_7380,1454,0.030966987620357635,-1.2975,36.9025,7
-263_7366,5042,0.03095096191987307,-1.3125,36.8325,2
-257_7357,3348,0.030883661887694144,-1.2825,36.7875,2
-250_7371,277,0.03083032490974729,-1.2475,36.8575,2
-267_7351,241,0.030827800829875518,-1.3325,36.7575,1
-264_7361,2591,0.03069287919722115,-1.3175000000000001,36.8075,2
-266_7378,1962,0.03068972986748216,-1.3275000000000001,36.8925,7
-247_7372,764,0.03063710732984293,-1.2325,36.862500000000004,5
-264_7360,1003,0.030584995014955135,-1.3175000000000001,36.8025,2
-255_7375,2521,0.0305710035700119,-1.2725,36.8775,7
-268_7353,204,0.03048406862745098,-1.3375000000000001,36.7675,1
-254_7349,673,0.030392273402674592,-1.2675,36.7475,4
-244_7355,402,0.030380597014925376,-1.2175,36.7775,4
-260_7379,2422,0.03031812551610239,-1.2975,36.8975,7
-235_7383,410,0.030109756097560978,-1.1725,36.917500000000004,5
-259_7354,14085,0.03000530706425275,-1.2925,36.7725,4
-260_7375,1418,0.029876586741889987,-1.2975,36.8775,7
-253_7386,166,0.029825301204819275,-1.2625,36.9325,7
-258_7337,150,0.02981333333333333,-1.2875,36.6875,4
-257_7375,3047,0.02980587463078438,-1.2825,36.8775,7
-262_7350,112,0.029767857142857145,-1.3075,36.7525,4
-244_7370,140,0.02975,-1.2175,36.8525,5
-266_7366,17876,0.029704785746251957,-1.3275000000000001,36.8325,2
-251_7383,542,0.02965129151291513,-1.2525,36.917500000000004,7
-259_7379,6066,0.02942775304978569,-1.2925,36.8975,7
-258_7343,101,0.02933663366336634,-1.2875,36.7175,4
-253_7385,659,0.02931259484066768,-1.2625,36.9275,7
-254_7355,397,0.029279596977329975,-1.2675,36.7775,4
-265_7376,1527,0.02926784544859201,-1.3225,36.8825,7
-265_7357,2068,0.029257736943907157,-1.3225,36.7875,2
-248_7362,2685,0.02923994413407821,-1.2375,36.8125,4
-254_7384,608,0.029230263157894735,-1.2675,36.9225,7
-268_7375,131,0.029209923664122138,-1.3375000000000001,36.8775,7
-267_7352,125,0.029016,-1.3325,36.7625,1
-257_7376,2562,0.028966042154566746,-1.2825,36.8825,7
-253_7375,1452,0.02893388429752066,-1.2625,36.8775,7
-252_7362,32695,0.028918144976296068,-1.2575,36.8125,2
-254_7350,274,0.028864963503649633,-1.2675,36.7525,4
-258_7354,7972,0.02885351856497742,-1.2875,36.7725,4
-259_7376,2044,0.02882497553816047,-1.2925,36.8825,7
-253_7355,1250,0.0288168,-1.2625,36.7775,4
-245_7379,774,0.028768733850129197,-1.2225,36.8975,5
-260_7372,1984,0.028717363911290324,-1.2975,36.862500000000004,7
-257_7350,459,0.028660130718954246,-1.2825,36.7525,4
-255_7347,284,0.028651408450704227,-1.2725,36.737500000000004,4
-247_7360,3439,0.028636449549287582,-1.2325,36.8025,4
-249_7369,148,0.028601351351351348,-1.2425,36.847500000000004,5
-261_7381,2730,0.028596062271062272,-1.3025,36.9075,7
-258_7377,4270,0.028570784543325525,-1.2875,36.8875,7
-250_7375,661,0.028526475037821485,-1.2475,36.8775,7
-263_7361,4350,0.02851080459770115,-1.3125,36.8075,2
-252_7355,1537,0.02847234873129473,-1.2575,36.7775,4
-255_7394,479,0.02840866388308977,-1.2725,36.972500000000004,7
-242_7383,1312,0.028290396341463412,-1.2075,36.917500000000004,5
-251_7362,6583,0.0282085675224062,-1.2525,36.8125,4
-267_7353,202,0.02810891089108911,-1.3325,36.7675,1
-255_7358,1033,0.028102855759922555,-1.2725,36.792500000000004,4
-240_7380,1370,0.02809580291970803,-1.1975,36.9025,5
-263_7384,593,0.028033726812816188,-1.3125,36.9225,7
-256_7375,3101,0.027940503063527897,-1.2775,36.8775,7
-255_7376,1442,0.027934292649098476,-1.2725,36.8825,7
-258_7376,4666,0.027902700385769395,-1.2875,36.8825,7
-269_7376,187,0.027850267379679144,-1.3425,36.8825,7
-261_7383,214,0.02772429906542056,-1.3025,36.917500000000004,7
-246_7359,334,0.02767365269461078,-1.2275,36.7975,4
-267_7377,322,0.027602484472049688,-1.3325,36.8875,7
-266_7367,16618,0.027547448549765315,-1.3275000000000001,36.8375,2
-252_7356,1766,0.02751047565118913,-1.2575,36.7825,4
-253_7377,2021,0.027498268184067292,-1.2625,36.8875,7
-266_7376,5406,0.027462541620421756,-1.3275000000000001,36.8825,7
-258_7356,7577,0.02745562227794642,-1.2875,36.7825,4
-243_7379,2310,0.027399458874458875,-1.2125000000000001,36.8975,5
-257_7382,519,0.02737957610789981,-1.2825,36.9125,7
-264_7378,1577,0.027256182625237792,-1.3175000000000001,36.8925,7
-260_7355,9375,0.0271424,-1.2975,36.7775,4
-262_7354,2806,0.02701550249465431,-1.3075,36.7725,4
-256_7376,1668,0.02698381294964029,-1.2775,36.8825,7
-241_7380,922,0.026963123644251626,-1.2025000000000001,36.9025,5
-263_7371,1279,0.026944487881157157,-1.3125,36.8575,7
-259_7375,4064,0.02689966781496063,-1.2925,36.8775,7
-252_7351,173,0.026867052023121386,-1.2575,36.7575,4
-252_7392,169,0.026828402366863905,-1.2575,36.9625,7
-258_7374,3035,0.026809637561779242,-1.2875,36.8725,7
-259_7355,7492,0.026785971703150026,-1.2925,36.7775,4
-246_7376,986,0.026635902636916838,-1.2275,36.8825,5
-250_7376,174,0.02658045977011494,-1.2475,36.8825,7
-244_7364,343,0.026571428571428572,-1.2175,36.8225,5
-257_7374,3150,0.026326904761904763,-1.2825,36.8725,7
-251_7357,417,0.02630695443645084,-1.2525,36.7875,4
-252_7380,421,0.026287410926365797,-1.2575,36.9025,7
-256_7358,8702,0.02623753160193059,-1.2775,36.792500000000004,4
-264_7362,4872,0.026233579638752055,-1.3175000000000001,36.8125,2
-251_7367,111,0.026207207207207206,-1.2525,36.8375,2
-257_7378,4000,0.0261320625,-1.2825,36.8925,7
-258_7358,12203,0.026125809227239203,-1.2875,36.792500000000004,4
-262_7356,964,0.026064834024896264,-1.3075,36.7825,4
-261_7355,4152,0.026056478805394988,-1.3025,36.7775,4
-258_7379,4136,0.025950193423597678,-1.2875,36.8975,7
-254_7346,435,0.0258735632183908,-1.2675,36.7325,4
-248_7374,1830,0.02584685792349727,-1.2375,36.8725,5
-248_7363,199,0.025793969849246232,-1.2375,36.8175,4
-261_7378,2336,0.02569242294520548,-1.3025,36.8925,7
-261_7354,6186,0.025686429033301005,-1.3025,36.7725,4
-259_7358,20291,0.025685180621950618,-1.2925,36.792500000000004,4
-258_7375,4053,0.02566327411793733,-1.2875,36.8775,7
